Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10922,16156
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),19820,23960
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2344,4162
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4082,6467
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5974,8165
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13141,16009
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3873,5885
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8993,10965
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9525,12466
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),21659,22403
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4174,4708
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7679,8804
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7759,11678
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),17144,20366
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,11591,16268
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),21631,22981
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1195,2361
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4812,5994
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,6087,8343
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),13688,13761
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,753,1067
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),3432,3432
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,601,2464
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4813,5969
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,3133,7228
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),9368,10435
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2666,4250
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6085,8597
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1,66
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),29,369
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,1531,2372
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),3744,4928
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,106,433
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),779,1914
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,470,841
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),2219,3274
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1810,2584
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4087,6136
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,122,1539
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),3126,5593
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3143,4777
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8026,8925
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,264,1273
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2669,3012
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,490,1834
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2816,4693
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2712,4345
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6628,8075
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8480,11034
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),16970,17710
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,12260,14368
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),23443,23642
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3945,4285
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9721,9846
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4593,6166
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),11355,12496
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,12646,14879
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),24904,25194
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,13425,17491
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),25305,26718
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10954,14274
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),21169,23543
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2096,3123
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6922,7997
Indian Institute of Technology Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3221,3928
Indian Institute of Technology Mandi,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8476,9741
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5136,7590
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),11244,14984
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8831,12110
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),19108,20778
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8023,10267
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),17438,20608
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5200,5712
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),11520,11520
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1291,1761
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6480,6480
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4661,5590
Indian Institute of Technology Delhi,"Abu Dhabi Campus - Energy Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8973,8973
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3147,4999
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6350,8927
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1904,2548
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),5287,5968
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,2581,3454
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),6826,7561
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,6267,8528
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),11389,16980
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3244,4302
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),3660,9193
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,24,126
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),376,498
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,134,186
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),560,996
Indian Institute of Technology Delhi,"Design (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7813,12217
Indian Institute of Technology Delhi,"Design (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),16045,23166
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,365,605
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),1617,2627
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,612,823
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2789,2886
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1868,2668
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),3645,6315
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,858,1103
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),3041,3918
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1393,2565
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4457,6755
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2499,3736
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7895,9060
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,157,323
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),743,1234
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,325,355
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),1447,2258
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1156,1862
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4074,5178
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1988,3223
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6903,7617
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5015,5733
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9841,11158
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7246,8824
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12689,16373
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9004,10641
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),16727,17630
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,952,1775
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2695,3922
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2390,3723
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6403,8044
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5236,8299
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),14114,16848
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1751,2099
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4271,5553
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4522,7545
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12528,16482
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8439,11274
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),20322,22422
Indian Institute of Technology Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5679,7419
Indian Institute of Technology Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13917,13924
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3830,4872
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),10128,12034
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6545,11111
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),17306,19074
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,11734,13685
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),20949,21618
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",AI,OPEN,Gender-Neutral,9970,19141
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",AI,OPEN,Female-only (including Supernumerary),19716,24124
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,461,953
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2901,3194
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6774,9224
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7274,14841
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4379,5222
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7574,11358
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,11214,12321
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),20022,21532
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6188,7774
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13875,15272
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,238,466
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),1202,1908
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,3681,6063
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),10113,12877
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1492,1985
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4721,5393
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,419,1485
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),3229,4734
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,11359,12443
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),19766,20854
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2873,4329
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9189,10288
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2077,2741
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6076,7896
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5124,6547
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),12718,14070
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,519,1336
