Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2203,2872
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2833,3644
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,344,747
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1158,1330
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1524,1828
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2175,2175
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,987,1481
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1476,1476
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2568,2874
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3531,3531
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,989,1200
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2114,2114
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1859,2479
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3073,3388
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2742,3054
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3877,3877
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,238,703
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),459,1252
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2140,2370
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),2950,2950
